TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,113866.67,114700.0,114916.67,114308.33,114158.33,114075.0,114333.33,115208.33,115233.33,115766.67,115491.67,114950.0,115383.33,118925.0,118645.83
  Civilian Employment,92958.33,94141.67,95850.0,97533.33,99350.0,101033.33,102216.67,104325.0,105550.0,106308.33,101025.0,103075.0,106425.0,108225.0,103552.78
  Civilian Unemployment,20925.0,20558.33,19066.67,16758.33,14825.0,13025.0,12133.33,10883.33,9700.0,9458.33,14475.0,11866.67,8958.33,10700.0,15086.11
Civilian Unemployment Rate,0.18,0.18,0.17,0.15,0.13,0.11,0.11,0.09,0.08,0.08,0.12,0.1,0.08,0.09,0.13
"Total, All Industries",69183.33,70083.33,71766.67,74050.0,75933.33,77683.33,79341.67,81725.0,83258.33,85033.33,81783.33,83391.67,86025.0,87941.67,82168.05
  Total Farm,11025.0,11750.0,12875.0,13841.67,14050.0,14391.67,14533.33,14641.67,14625.0,14283.33,14208.33,14516.67,14175.0,14150.0,13036.81
  Total Nonfarm,58158.33,58333.33,58891.67,60208.33,61883.33,63291.67,64808.33,67083.33,68633.33,70750.0,67575.0,68875.0,71850.0,73791.67,69131.25
    Total Private,41458.33,41883.33,42466.67,43633.33,44791.67,45625.0,46358.33,48458.33,49700.0,51258.33,49183.33,50658.33,53150.0,54391.67,50469.44
    Goods Producing,9900.0,9791.67,10016.67,10316.67,11383.33,11733.33,11716.67,12291.67,12683.33,13075.0,12758.33,12675.0,13225.0,13533.33,12417.36
      "Mining, Logging and Construction",1575.0,1550.0,1608.33,1608.33,1733.33,2016.67,2450.0,2741.67,3008.33,3083.33,3058.33,3216.67,3325.0,3366.67,2739.58
      Manufacturing,8325.0,8241.67,8408.33,8708.33,9650.0,9716.67,9266.67,9550.0,9675.0,9991.67,9700.0,9458.33,9900.0,10166.67,9677.78
        Non-Durable Goods,7316.67,7333.33,7400.0,7450.0,8325.0,8391.67,7933.33,8150.0,8233.33,8533.33,8191.67,7866.67,8091.67,8400.0,8252.08
Service-Providing,48258.33,48541.67,48875.0,49891.67,50500.0,51558.33,53091.67,54791.67,55950.0,57675.0,54816.67,56200.0,58625.0,60258.33,56713.89
    Private Service Providing,31558.33,32091.67,32450.0,33316.67,33408.33,33891.67,34641.67,36166.67,37016.67,38183.33,36425.0,37983.33,39925.0,40858.33,38052.08
      "Trade, Transportation, and Utilities",11125.0,11483.33,11733.33,11941.67,11875.0,12100.0,12366.67,13008.33,13525.0,13816.67,13433.33,13583.33,13750.0,13791.67,12913.19
        Wholesale Trade,1283.33,1341.67,1475.0,1441.67,1241.67,1258.33,1350.0,1516.67,1666.67,1725.0,1733.33,1858.33,1975.0,1950.0,1673.61
        Retail Trade,7183.33,7383.33,7416.67,7575.0,7808.33,8033.33,8116.67,8341.67,8366.67,8433.33,8233.33,8716.67,8825.0,8725.0,8172.22
        "Transportation, Warehousing, and Utilities",2658.33,2758.33,2841.67,2925.0,2825.0,2808.33,2900.0,3150.0,3491.67,3658.33,3466.67,3008.33,2950.0,3116.67,3067.36
      Information,625.0,441.67,400.0,400.0,400.0,316.67,300.0,300.0,300.0,300.0,225.0,241.67,300.0,300.0,363.89
      Financial Activities,1600.0,1541.67,1550.0,1500.0,1566.67,1575.0,1816.67,1816.67,1841.67,1900.0,1833.33,1891.67,1891.67,1800.0,1696.53
      Professional and Business Services,4233.33,4425.0,4333.33,4316.67,3816.67,3700.0,3475.0,3750.0,3808.33,3933.33,3741.67,3808.33,3858.33,3650.0,3918.75
      Private Education and Health Services,8091.67,8183.33,8300.0,8775.0,9050.0,9408.33,9758.33,10241.67,10283.33,10558.33,10316.67,10558.33,11050.0,11916.67,10916.67
      Leisure and Hospitality,4516.67,4633.33,4741.67,5008.33,5366.67,5441.67,5533.33,5625.0,5783.33,6075.0,5333.33,6083.33,6900.0,7100.0,6272.22
      Other Services,1366.67,1383.33,1391.67,1375.0,1333.33,1350.0,1391.67,1425.0,1475.0,1600.0,1541.67,1816.67,2175.0,2300.0,1970.83
      Government,16700.0,16450.0,16425.0,16575.0,17091.67,17666.67,18450.0,18625.0,18933.33,19491.67,18391.67,18216.67,18700.0,19400.0,18661.81
        Federal Government,833.33,783.33,741.67,716.67,758.33,766.67,800.0,791.67,741.67,716.67,825.0,700.0,700.0,700.0,727.78
        Total State and Local Government,15866.67,15666.67,15683.33,15858.33,16333.33,16900.0,17650.0,17833.33,18191.67,18775.0,17566.67,17516.67,18000.0,18700.0,17934.03
          State Government,2400.0,2450.0,2658.33,2925.0,3075.0,3216.67,3500.0,3550.0,3716.67,4008.33,3866.67,3600.0,3025.0,3100.0,2942.36
            State Government Educational Services,1800.0,1850.0,2058.33,2325.0,2475.0,2616.67,2916.67,2975.0,3125.0,3408.33,3266.67,3000.0,2366.67,2425.0,2300.69
            State Government Excluding Education,600.0,600.0,600.0,600.0,600.0,600.0,583.33,575.0,591.67,600.0,600.0,600.0,658.33,675.0,641.67
          Local Government,13466.67,13216.67,13025.0,12933.33,13258.33,13683.33,14150.0,14283.33,14475.0,14766.67,13700.0,13916.67,14975.0,15600.0,14991.67
          Local Government excluding Educational Services,4216.67,3841.67,3675.0,3550.0,3600.0,3750.0,3866.67,4008.33,4050.0,4050.0,3941.67,3950.0,4058.33,4083.33,4023.61
            Special Districts plus Tribes,666.67,608.33,650.0,616.67,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,595.14
