Category,Subcategories
"Mining Logging and Construction,12508.33,12566.67,13050,13816.67,15008.33,15175,15516.67,16600,17683.33,18033.33,17683.33,18033.33,18741.67,19025,16579.17","Mining and Logging,1200,1266.67,1266.67,1216.67,1300,1025,900,900,858.33,941.67,925,891.67,975,1000,1104.17, Construction,11308.33,11300,11783.33,12600,13708.33,14150,14616.67,15700,16825,17091.67,16758.33,17141.67,17766.67,18025,15475, Specialty Trade Contractors,7875,7866.67,8025,8508.33,9075,9533.33,10008.33,10766.67,11341.67,11033.33,10925,11241.67,11658.33,11891.67,10320.83"
"Manufacturing,25591.67,24725,24191.67,24208.33,24991.67,25875,25691.67,25608.33,26208.33,26583.33,25800,26466.67,27250,26766.67,25809.03","Durable Goods,19533.33,18816.67,18233.33,18183.33,18658.33,18841.67,18625,18616.67,19475,19416.67,18441.67,18316.67,18908.33,19075,18852.08, Non-Durable Goods,6058.33,5908.33,5958.33,6025,6333.33,7033.33,7066.67,6991.67,6733.33,7166.67,7358.33,8150,8341.67,7691.67,6956.94"
"Trade Transportation and Utilities,52883.33,54016.67,55316.67,56616.67,57250,57691.67,58241.67,58633.33,58075,57133.33,53008.33,55666.67,57300,56550,55773.61","Wholesale Trade,12308.33,12441.67,12475,12516.67,12341.67,12083.33,12475,12666.67,12533.33,12466.67,12008.33,12325,12458.33,11825,11906.94, Retail Trade,35275,36075,37100,38233.33,38925,39625,39725,39825,39216.67,38333.33,34875,36358.33,36533.33,36375,36634.03, Transportation Warehousing and Utilities,5300,5500,5741.67,5866.67,5983.33,5983.33,6041.67,6141.67,6325,6333.33,6125,6983.33,8308.33,8350,7232.64"
"Information,5375,5091.67,5375,5475,5616.67,5316.67,5266.67,5300,5366.67,5241.67,3975,3916.67,4008.33,3741.67,4277.78",
"Financial Activities,20333.33,20391.67,19600,18916.67,18725,17741.67,17408.33,16916.67,16441.67,15850,15700,16100,16058.33,15325,16997.22","Finance and Insurance,16008.33,16183.33,15416.67,14533.33,14233.33,13483.33,13150,12700,12325,11616.67,11591.67,11741.67,11316.67,10791.67,12572.92, Real Estate and Rental and Leasing,4325,4208.33,4183.33,4383.33,4491.67,4258.33,4258.33,4216.67,4116.67,4233.33,4108.33,4358.33,4741.67,4533.33,4424.3"
"Professional and Business Services,40233.33,39866.67,41341.67,42800,41541.67,40466.67,40850,42150,42908.33,44350,42608.33,43641.67,44258.33,43550,42873.61","Professional Scientific and Technical Services,15283.33,15066.67,15691.67,16108.33,15875,15833.33,15841.67,16475,16625,17366.67,16575,17283.33,18125,17658.33,17210.42, Management of Companies and Enterprises,8483.33,8050,7625,7575,7433.33,6650,7066.67,7350,7283.33,7641.67,7908.33,7875,8016.67,8200,8030.56, Administrative and Support and Waste and Remediatio,16466.67,16750,18025,19116.67,18233.33,17983.33,17941.67,18325,19000,19341.67,18125,18483.33,18116.67,17691.67,17632.64"
"Private Education and Health Services,35491.67,36333.33,38183.33,40358.33,41625,42916.67,44416.67,45883.33,47658.33,49600,48333.33,49566.67,51225,53925,48774.3",
"Leisure and Hospitality,30300,31408.33,32766.67,33750,34808.33,35708.33,36375,37241.67,37808.33,38525,30200,32800,37208.33,38258.33,36044.44","Accommodation and Food Services,25616.67,26750,27858.33,28650,29708.33,30491.67,31158.33,32358.33,32641.67,32841.67,26441.67,29116.67,32683.33,33500,31256.94"
"Other Services,9175,9208.33,9416.67,9666.67,9800,9650,9600,9625,9500,9650,8283.33,8883.33,9400,9716.67,9672.22",
"Government,44208.33,44400,43625,43616.67,44000,45400,46583.33,46908.33,46866.67,47125,44733.33,44475,46141.67,47100,46320.83","Federal Government,7766.67,7350,7150,7033.33,6858.33,7100,7383.33,7266.67,7266.67,7408.33,7766.67,7608.33,7408.33,7375,7329.86, Total State and Local Government,36441.67,37050,36475,36583.33,37141.67,38300,39200,39641.67,39600,39716.67,36966.67,36866.67,38733.33,39725,38990.97"
