Category,Subcategories
"Total Nonfarm,108308.33,108991.67,110825,113591.67,114525,118166.67,121858.33,125175,126266.67,128450,124691.67,130125,138358.33,141833.33,129820.14",
"Mining Logging and Construction,3933.33,3908.33,4033.33,4175,4525,4933.33,5333.33,5650,6066.67,6383.33,6616.67,7000,7583.33,7450,6064.58",
"Manufacturing,11050,11183.33,11333.33,11583.33,12000,12258.33,12816.67,12816.67,12950,12875,12658.33,12950,13808.33,13833.33,12820.83","Durable Goods,2375,2441.67,2516.67,2550,2741.67,2916.67,3025,3083.33,3250,3241.67,3066.67,3083.33,3333.33,3100,2802.08, Non-Durable Goods,8675,8741.67,8816.67,9033.33,9258.33,9341.67,9791.67,9733.33,9700,9633.33,9591.67,9866.67,10475,10733.33,10018.75"
"Service-Providing,93325,93900,95458.33,97833.33,98000,100975,103708.33,106708.33,107250,109191.67,105416.67,110175,116966.67,120550,110934.72",
"Trade Transportation and Utilities,23558.33,24000,25041.67,25966.67,26050,26725,27150,27641.67,27991.67,27716.67,27066.67,29425,30833.33,30875,28059.72","Wholesale Trade,3816.67,3541.67,3650,3858.33,3833.33,3925,4133.33,4175,4333.33,4383.33,4316.67,4366.67,4416.67,4375,4125, Retail Trade,14583.33,14891.67,15266.67,15683.33,15775,15933.33,16166.67,16208.33,16291.67,16175,15566.67,16608.33,16916.67,16825,15891.67, Transportation Warehousing and Utilities,5158.33,5566.67,6125,6425,6441.67,6866.67,6850,7258.33,7366.67,7158.33,7183.33,8450,9500,9675,8043.06"
"Information,958.33,850,733.33,750,758.33,725,725,700,700,700,550,583.33,616.67,600,687.5",
"Financial Activities,3800,3783.33,3808.33,3833.33,3883.33,4041.67,4116.67,4066.67,4058.33,4033.33,3791.67,3741.67,3683.33,3583.33,3675.69","Finance and Insurance,2691.67,2700,2741.67,2716.67,2700,2683.33,2791.67,2808.33,2750,2700,2575,2366.67,2208.33,2075,2295.83"
"Professional and Business Services,9508.33,10233.33,10575,10916.67,10250,10875,11050,12008.33,10958.33,11358.33,10958.33,10725,11225,11216.67,10815.28",
"Private Education and Health Services,12500,12416.67,12133.33,13300,13691.67,13825,14408.33,15491.67,16066.67,17075,17283.33,18258.33,19758.33,21925,18978.47",
"Leisure and Hospitality,8925,8908.33,9466.67,9950,10591.67,11133.33,11458.33,11533.33,11758.33,12100,10716.67,12200,13808.33,14166.67,12403.47","Arts Entertainment and Recreation,833.33,808.33,833.33,741.67,741.67,791.67,866.67,916.67,1033.33,1050,608.33,800,1000,1058.33,1004.86, Accommodation and Food Services,8091.67,8100,8633.33,9208.33,9850,10341.67,10591.67,10616.67,10725,11050,10108.33,11400,12808.33,13108.33,11398.61"
"Other Services,3033.33,3083.33,3116.67,3166.67,3325,3375,3475,3475,3466.67,3500,3200,3475,3800,3891.67,3577.08",
"Government,31041.67,30625,30583.33,29950,29450,30275,31325,31791.67,32250,32708.33,31850,31766.67,33241.67,34291.67,32737.5","Federal Government,1491.67,1233.33,1225,1116.67,1025,1041.67,1033.33,1033.33,1050,1058.33,1066.67,991.67,1008.33,1033.33,1082.64, Total State and Local Government,29550,29391.67,29358.33,28833.33,28425,29233.33,30291.67,30758.33,31200,31650,30783.33,30775,32233.33,33258.33,31654.86"
