Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,4858.33,5141.67,5516.67,6050,6408.33,6725,7158.33,7450,7866.67,8266.67,8475,9133.33,8916.67,8741.67,7481.25
Manufacturing,5850,6016.67,6391.67,6508.33,6833.33,7016.67,7000,7275,7741.67,7841.67,7341.67,7866.67,8150,8475,7550
Trade Transportation and Utilities,19150,19300,20041.67,20516.67,20675,20950,21241.67,21308.33,21133.33,20791.67,19116.67,19716.67,20008.33,19866.67,19881.94
Information,1183.33,1133.33,1225,1366.67,1408.33,1466.67,1325,1266.67,1183.33,1208.33,1125,1175,1275,1175,1168.06
Financial Activities,3816.67,3825,3850,3833.33,3808.33,3866.67,3758.33,3891.67,3858.33,3866.67,3791.67,3916.67,3950,3875,3869.44
Professional and Business Services,8025,8300,9083.33,9291.67,9416.67,10108.33,10475,10675,10850,11166.67,10508.33,10958.33,11075,11166.67,10343.06
Private Education and Health Services,14150,14183.33,14400,15408.33,16183.33,16450,16983.33,17441.67,17700,18216.67,16966.67,17541.67,18066.67,18616.67,17427.08
Leisure and Hospitality,14783.33,14925,15733.33,16191.67,16825,17575,18525,19075,19233.33,19841.67,15375,17425,19508.33,19950,18404.86
Other Services,3025,3041.67,3308.33,3391.67,3583.33,3816.67,3808.33,3983.33,4025,4075,3341.67,3408.33,3691.67,3791.67,3545.83
Government,20866.67,20575,20725,21500,22891.67,23566.67,23875,24141.67,24341.67,24458.33,23541.67,23158.33,23400,23225,22063.19
