Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,153783.33,142900,124975,104158.33,86975,71233.33,64725,56791.67,47875,45516.67,139475,93150,50725,56458.33,87724.3
Total Farm,3725,3216.67,2800,2908.33,2750,2441.67,2441.67,2133.33,1966.67,1866.67,1866.67,1983.33,1683.33,1691.67,2250
Total Nonfarm,1372558.33,1388925,1426050,1464858.33,1498991.67,1547441.67,1587541.67,1620283.33,1653391.67,1675283.33,1532725,1587825,1666050,1681866.67,1585231.94
Mining Logging and Construction,68841.67,70266.67,72775,78283.33,83025,91783.33,97375,101833.33,106350,106575,101658.33,102533.33,105641.67,104941.67,92507.64
Mining and Logging,400,400,425,450,500,400,341.67,483.33,500,450,358.33,383.33,325,300,356.25
Construction,68441.67,69866.67,72350,77833.33,82525,91383.33,97033.33,101350,105850,106125,101300,102150,105316.67,104641.67,92151.39
Manufacturing,151083.33,154825,159050,158766.67,158166.67,157841.67,158200,160758.33,160766.67,160058.33,150066.67,149775,155425,156483.33,155149.31
Trade Transportation and Utilities,244158.33,246300,248158.33,251283.33,254908.33,258575,259716.67,261608.33,263241.67,261391.67,244066.67,251958.33,258316.67,262108.33,256134.03
Information,21658.33,20658.33,22133.33,23208.33,23433.33,24916.67,25958.33,26766.67,26716.67,25983.33,24116.67,24041.67,24283.33,22550,21765.97
Financial Activities,103666.67,105041.67,108616.67,113400,113941.67,116400,118033.33,119558.33,118650,117591.67,115875,117066.67,112341.67,104091.67,105647.22
Professional and Business Services,250675,253016.67,264900,271558.33,280241.67,289508.33,299583.33,304733.33,317258.33,328358.33,309191.67,321650,331516.67,321350,296982.64
Private Education and Health Services,169358.33,172241.67,177300,186325,191300,199291.67,206608.33,216425,225208.33,233091.67,225800,237333.33,249275,264316.67,235618.75
Leisure and Hospitality,168658.33,174066.67,180641.67,187783.33,194483.33,203808.33,212016.67,218116.67,222625,227716.67,161750,180358.33,217908.33,229550,211486.11
Other Services,42166.67,43233.33,44625,45575,47266.67,48908.33,50450,50300,51350,51975,44125,47450,53125,55275,51755.56
Government,152291.67,149275,147850,148675,152225,156408.33,159600,160183.33,161225,162541.67,156075,155658.33,158216.67,161200,158184.72
