Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,12508.33,12566.67,13050,13816.67,15008.33,15175,15516.67,16600,17683.33,18033.33,17683.33,18033.33,18741.67,19025,16579.17
Manufacturing,25591.67,24725,24191.67,24208.33,24991.67,25875,25691.67,25608.33,26208.33,26583.33,25800,26466.67,27250,26766.67,25809.03
Trade Transportation and Utilities,52883.33,54016.67,55316.67,56616.67,57250,57691.67,58241.67,58633.33,58075,57133.33,53008.33,55666.67,57300,56550,55773.61
Information,5375,5091.67,5375,5475,5616.67,5316.67,5266.67,5300,5366.67,5241.67,3975,3916.67,4008.33,3741.67,4277.78
Financial Activities,20333.33,20391.67,19600,18916.67,18725,17741.67,17408.33,16916.67,16441.67,15850,15700,16100,16058.33,15325,16997.22
Professional and Business Services,40233.33,39866.67,41341.67,42800,41541.67,40466.67,40850,42150,42908.33,44350,42608.33,43641.67,44258.33,43550,42873.61
Private Education and Health Services,35491.67,36333.33,38183.33,40358.33,41625,42916.67,44416.67,45883.33,47658.33,49600,48333.33,49566.67,51225,53925,48774.3
Leisure and Hospitality,30300,31408.33,32766.67,33750,34808.33,35708.33,36375,37241.67,37808.33,38525,30200,32800,37208.33,38258.33,36044.44
Other Services,9175,9208.33,9416.67,9666.67,9800,9650,9600,9625,9500,9650,8283.33,8883.33,9400,9716.67,9672.22
Government,44208.33,44400,43625,43616.67,44000,45400,46583.33,46908.33,46866.67,47125,44733.33,44475,46141.67,47100,46320.83
