Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,4065.83,3892.5,3516.67,2940.83,2436.67,1990.83,1790.83,1635,1462.5,1448.33,2329.17,1840,1260.83,1519.17,2403.54
Total Farm,1444.17,1449.17,1445.83,1425.83,1471.67,1750.83,1825,1982.5,1895,1912.5,1935.83,2015.83,2055.83,2091.67,1816.39
Total Nonfarm,14627.5,14601.67,14638.33,15127.5,15642.5,15874.17,16228.33,16781.67,17082.5,17392.5,17045.83,17400.83,17922.5,18248.33,16900.62
Mining Logging and Construction,543.33,565.83,571.67,671.67,705,691.67,698.33,746.67,826.67,973.33,1079.17,1143.33,1144.17,1157.5,943.12
Mining and Logging,126.67,146.67,140.83,141.67,146.67,142.5,135.83,137.5,139.17,141.67,128.33,112.5,115.83,113.33,136.04
Construction,416.67,419.17,430.83,530,558.33,549.17,562.5,609.17,687.5,831.67,950.83,1030.83,1028.33,1044.17,807.08
Manufacturing,1581.67,1564.17,1614.17,1669.17,1770,1835,1810.83,1840.83,1875,1800,1755.83,1802.5,1829.17,1828.33,1759.1
Trade Transportation & Utilities,3183.33,3137.5,3161.67,3433.33,3575,3670,3916.67,4015.83,4038.33,4085,4126.67,4187.5,4224.17,4162.5,3831.74
Information,69.17,70,80,70.83,63.33,57.5,77.5,107.5,96.67,88.33,94.17,88.33,74.17,70,70.28
Financial Activities,360,344.17,363.33,345,341.67,330.83,355,353.33,320.83,313.33,328.33,322.5,312.5,318.33,349.51
Professional and Business Services,880.83,959.17,826.67,627.5,663.33,701.67,810,878.33,818.33,855.83,835.83,861.67,840,797.5,779.79
Private Education and Health Services,2379.17,2350,2379.17,2768.33,2864.17,2859.17,2830.83,2966.67,3138.33,3339.17,3352.5,3344.17,3490,3683.33,3240.9
Leisure and Hospitality,1124.17,1177.5,1229.17,1258.33,1300,1358.33,1340.83,1410.83,1481.67,1491.67,1298.33,1422.5,1480.83,1472.5,1318.26
Other Services,350,338.33,336.67,342.5,359.17,341.67,325,315,325.83,303.33,293.33,313.33,301.67,319.17,343.06
Government,4155.83,4095,4075.83,3940.83,4000.83,4028.33,4064.17,4153.33,4164.17,4151.67,3885.83,3918.33,4233.33,4448.33,4270.69
