Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,2583.33,2450,2658.33,3191.67,3691.67,4266.67,4041.67,4150,4725,4741.67,4108.33,4500,4425,4441.67,3756.25
Manufacturing,10675,10866.67,11208.33,11633.33,12066.67,11908.33,11933.33,12700,13233.33,13675,12766.67,13275,14508.33,15066.67,13645.83
Service-Providing,47450,48025,49683.33,51516.67,52766.67,54133.33,54700,55383.33,56225,56333.33,48958.33,49975,53533.33,54766.67,53228.47
Trade Transportation and Utilities,8866.67,8700,9066.67,9525,9841.67,10066.67,10175,10083.33,10216.67,10316.67,9541.67,9750,10083.33,10075,9741.67
Information,600,633.33,541.67,508.33,500,425,400,400,350,300,241.67,291.67,300,300,406.94
Financial Activities,2258.33,2250,2266.67,2225,2266.67,2333.33,2358.33,2266.67,2200,2250,2141.67,2100,2125,2091.67,2155.56
Professional and Business Services,5158.33,5416.67,5991.67,6300,6408.33,6725,6725,6808.33,7191.67,7208.33,6708.33,6516.67,6716.67,6808.33,6431.25
Private Education and Health Services,8991.67,9075,9350,9666.67,9916.67,9800,9900,10075,10100,10275,9858.33,9866.67,10125,10575,10366.67
Leisure and Hospitality,9308.33,10008.33,10666.67,11333.33,11866.67,12608.33,12725,13075,13491.67,13708.33,9108.33,10200,12725,13333.33,12315.28
Other Services,1908.33,1875,1941.67,1958.33,1975,2025,2058.33,2150,2141.67,2083.33,1675,1808.33,2058.33,2158.33,2088.19
Government,10358.33,10066.67,9858.33,10000,9991.67,10150,10358.33,10525,10533.33,10191.67,9683.33,9441.67,9400,9425,9722.92
